TITULO,ANO,NOMES_AJUSTADOS
 POSSVEL DESCREVER EPISDIOS DE SRIES DE TELEVISO A PARTIR DE COMENTRIOS ONLINE,2017,"['PEDRO OLMO STANCIOLI VAZ DE MELO', 'ADRIANO ALONSO VELOSO']"
 POSSVEL PREVER EVASO COM BASE APENAS NO DESEMPENHO ACADMICO,2021,"['SIMONE DE LIMA MARTINS', 'ALEXANDRE PLASTINO DE CARVALHO']"
10SENT A STABLE SENTIMENT ANALYSIS METHOD BASED ON THE COMBINATION OF OFFTHESHELF APPROACHES,2019,"['FABRICIO BENEVENUTO DE SOUZA', 'MARCOS ANDRE GONCALVES']"
2015 IEEE LATIN AMERICA NETWORK OPERATION AND MANAGEMENT SYMPOSIUMS,2016,"['AUGUSTO JOSE VENANCIO NETO', 'ALDRI LUIZ DOS SANTOS']"
2ISOGENIES BETWEEN ELLIPTIC CURVES IN HESSE MODEL,2018,"['JULIO CESAR LOPEZ HERNANDEZ', 'RICARDO DAHAB']"
2PSA AN OPTIMIZED AND FLEXIBLE POWERPRECISION SCALABLE ADDER,2020,"['BRUNO ZATT', 'LUCIANO VOLCAN AGOSTINI']"
360 STITCHING FROM DUALFISHEYE CAMERAS BASED ON FEATURE CLUSTER MATCHING,2018,"['FABIO QUEDA BUENO DA SILVA', 'VERONICA TEICHRIEB']"
3CINDEX RESEARCH CONTRIBUTION ACROSS COMMUNITIES AS AN INFLUENCE INDICATOR,2015,"['ANA PAULA COUTO DA SILVA', 'MIRELLA MOURA MORO']"
3CINDEX RESEARCH CONTRIBUTION ACROSS COMMUNITIES AS AN INUENCE INDICATOR,2015,"['ANA PAULA COUTO DA SILVA', 'MIRELLA MOURA MORO']"
3D AVATAR FOR AUTOMATIC SYNTHESIS OF SIGNS FOR THE SIGN LANGUAGES,2015,"['EDUARDO TODT', 'LAURA SANCHEZ GARCIA']"
3D EDGE DETECTION BASED ON BOOLEAN FUNCTIONS AND LOCAL OPERATORS,2015,"['HELIO PEDRINI', 'ROSANE MINGHIM']"
3D FACE ALIGNMENT IN THE WILD A LANDMARKFREE NOSEBASED APPROACH,2016,"['LUCIANO SILVA', 'OLGA REGINA PEREIRA BELLON']"
3D MATCHING TECHNIQUES USING OCT FINGERPRINT POINT CLOUDS,2016,"['LUCIANO SILVA', 'OLGA REGINA PEREIRA BELLON']"
